64600:15000	10481:11073	VRF-PIERO
64600:25224	223786	VPLS-FCORP-3786
64600:25225	223788	VPLS-FCORP-3788
64600:25226	223794	VPLS-FCORP-3794
64600:25227	223801	VPLS-FCORP-3801
64600:25228	223830	VPLS-FCORP-3830
64600:25229	223843	VPLS-FCORP-3843
64600:25230	223857	VPLS-FCORP-3857
64600:25231	223858	VPLS-FCORP-3858
64600:25232	223868	VPLS-FCORP-3868
64600:25233	220201	VPLS-SIST-201
64600:25234	110225	VPLS-FCORP-225
64600:25235	110268	VPLS-SIST-268
64600:25236	110341	VPLS-FCORP-341
64600:25237	110413	VPLS-FCORP-413
64600:25238	2200494	VPLS-FCORP-494
64600:25239	220435	VPLS-FCORP-435
64600:25240	220437	VPLS-FCORP-437
64600:25241	220452	VPLS-FCORP-452
64600:25242	220493	VPLS-FCORP-493
64600:25243	220794	VPLS-FCORP-794
64600:25244	222642	VPLS-FCORP-2642
64600:25245	223702	VPLS-FCORP-3702
64600:25246	223703	VPLS.FCORP.3703
64600:25247	223746	VPLS-FCORP-3746
64600:25248	223766	VPLS-FCORP-3766
64600:25249	223768	VPLS-FCORP-3768
64600:25250	223780	VPLS-FCORP-3780
64600:25251	223874	VPLS-FCORP-3874
64600:25252	223876	VPLS-FCORP-3876
64600:25253	223879	VPLS-FCORP-3879
64600:25254	223883	VPLS-FCORP-3883
64600:25255	223890	VPLS-FCORP-3890
64600:25256	335001	VPLS-FCORP-335001
64600:25257	335004	VPLS-FCORP-335004
64600:25258	335040	VPLS-FCORP-335040
64600:25259	355024	VPLS-FCORP-355024
64600:25260	---	VPLS-DELTA-SRL-ANTENA
64600:25261		VPLS-FCORP-MONROE_AMERICANA
64600:25262	335041	VPLS-FCORP-335041
64600:25263	220793	VPLS-FCORP-793
64600:25264		VPLS-FCORP-
64600:25265	335036	VPLS-FCORP-1518
64600:25266	335039	VPLS-VINTERCONEXION UNIVERSITARIA
64600:25267	220272	VPLS-FCORP-Vicente-Lopez
64600:25268		VPLS-FCORP-IFX-Galicia
64600:25269		VPLS-FCORP-IFX-MDQ
64600:25270	335047	VPLS-FCORP-ElCano
64600:25271	335017	VPLS-FCORP-BTLATAM
64600:25272	335050	VPLS-ELECTRICALTDA
64600:25273		VPLS-L3-CARREFOUR
64600:25274	335036	VPLS-FCORP-IFX-LAPRIDA
64600:25275	335054	VPLS-FCORP-BBVA-PELLEGRINI
64600:25276		VPLS-FCORP-IFX-AMEGHINO
64600:25277	335049	VPLS-FCORP-335049
64600:25278		VPLS-FCORP-TELCONET-MAIPU
64600:25279		VPLS-FCORP-CABLEVISION(SOMOS)
64600:25280		VPLS-FCORP-RACINGSA
64600:25281		VPLS-FCORP-LEVEL3-MULTICAST-GODOYCRUZ1550
64600:25282		VPLS-FCORP-SIEMENS-IT
64600:25283		VPLS-FCORP-LANACION-COVEDISA
64600:25284		VPLS-FCORP-UTE-ERTACH
64600:25285		VPLS-FCORP-SISTEMAS-ELECTRONICOS-DATACENTER-LEVEL-3
64600:34999		VPLS-IFX-HUMBOLDT1967
64600:25286		VPLS-FCORP-NSS-LA-RIOJA-496
64600:25287		VPLS-FCORP-NSS-ROCA-6757
64600:25288	335044	VPLS-FCORP-335044
64600:25289	220218	VPLS-SIST-110218
64600:25290	335056	VPLS-FCORP-335056
64600:25291		VPLS-FCORP-ATOS-ARIAS
64600:25292		VPLS-FCORP-INTELIGLOBE
64600:25293		VPLS-FCORP-BTLATAM
64600:25294		VPLS-FCORP-720
64600:25295		VPLS-IFX-FALUCHO191
64600:25296		VPLS-FCORP-NSS-LAGOS-GARCIA-LUIS-4470
64600:25297	223844	VPLS-FCORP-223844
64600:25298	335064	VPLS-FCORP-335064
64600:25299	223872	VPLS-FCORP-223872
64600:25300	223878	VPLS-FCORP-223878
64600:25301	223765	VPLS-FCORP-223765
64600:25302	223739	VPLS-FCORP-223739
64600:25303	223740	VPLS-FCORP-223740
64600:25304	223915	VPLS-FCORP-223915
64600:25305	335052	VPLS-FCORP-335052
64600:25306	335011	VPLS-FCORP-335011
64600:25307	223862	VPLS-FCORP-223862
64600:25308	223707	VPLS-FCORP-223707
64600:25326	335043	VPLS-FCORP-335043
64600:25327	223727	VPLS-FCORP-223727
64600:15248	10481:11101	VRF-FCORP-SUPERMERCADOS-MAYORISTAS-MAKRO
64600:15249	10481:11199	VRF-FCORP-ORBIS-COMPANIA-DE-SEGUROS-SA
